$GNRMC,154130.00,A,1057.6282,N,07451.2683,W,9.2,314.6,080724,,,A*57
$GNRMC,154130.00,A,1057.6582,N,07451.2696,W,15.6,85.3,080724,,,A*53
$GNRMC,154130.00,A,1057.6314,N,07451.2848,W,15.9,168.6,080724,,,A*6F
$GNRMC,154130.00,A,1057.6338,N,07451.3100,W,16.6,182.7,080724,,,A*6C
$GNRMC,154130.00,A,1057.6082,N,07451.2756,W,18.5,254.6,080724,,,A*6E
$GNRMC,154130.00,A,1057.5924,N,07451.2777,W,13.0,244.6,080724,,,A*64
$GNRMC,154130.00,A,1057.5613,N,07451.2820,W,17.7,101.1,080724,,,A*64
$GNRMC,154130.00,A,1057.5650,N,07451.3059,W,0.1,261.1,080724,,,A*51
$GNRMC,154130.00,A,1057.6506,N,07451.2926,W,8.6,290.5,080724,,,A*57
$GNRMC,154130.00,A,1057.6203,N,07451.2813,W,18.3,108.5,080724,,,A*64
$GNRMC,154130.00,A,1057.5973,N,07451.2681,W,14.8,182.4,080724,,,A*6A
